ordreExecution;description;typePeriode;source_name;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_specifique;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_name;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Accouchements attendus;QYRjQFoCXcc;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Accouchements attendus;ZJZGNW26gOG;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Femmes vues en CPN au cours du mois et ayant beneficie d’un test VIH;RRdnVH2yxrM;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Femmes vues en CPN au cours du mois et ayant beneficie d’un test VIH;hQyxEjBhlXa;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Nombre de CPN1;QNpudMTFyvu;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Nombre de CPN1;R1Bwbvtd38F;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Femmes vues en CPN au cours du mois testees VIH+;YigwQLLb66Z;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Femmes vues en CPN au cours du mois testees VIH+;ffRqvlCNUnP;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Femmes vues en CPN testees VIH+ nouvellement mises sous TARV;Q5Bnpil8h0z;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Femmes vues en CPN testees VIH+ nouvellement mises sous TARV;Zoc38eugsVd;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Femmes enceintes supplementees pour la premiere fois en Fer + Acide Folique-MMS;gC4iq39qIQt;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Femmes enceintes supplementees pour la premiere fois en Fer + Acide Folique-MMS;ZsmqSjPq8iq;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Nut-Cas de MAS pris en charge chez les enfants de moins de 5 ans;HxEcWf4hnQA;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Nut-Cas de MAS pris en charge chez les enfants de moins de 5 ans;OHGKjoyZPVy;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;MAS enfants sortie gueris Ambulatoire;droDHm8tdSf;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_MAS enfants sortie gueris Ambulatoire;CxXbrhLjdiU;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;MAS enfants sortie gueris interne;v0JrxHSRm3n;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_MAS enfants sortie gueris interne;vI9l4dhkVv3;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;MAS enfants sortie decedes Ambulatoire;atCa2DRIODZ;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_MAS enfants sortie decedes Ambulatoire;HGcNkOsahia;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;MAS enfants sortie decedes interne;T0iOX7nHtAN;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_MAS enfants sortie decedes interne;UmRsxad67dM;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;MAS enfants sortie abandon Ambulatoire;ZPiLQTCVCOu;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_MAS enfants sortie abandon Ambulatoire;a5GhIdsxszv;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;MAS enfants sortie abandon interne;VIpvukBouIt;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_MAS enfants sortie abandon interne;t7hD38aYLhP;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;PEV -  population <1 an;I2yLHTirQlK;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_PEV -  population <1 an;x0u6v2IExVU;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Enfants de 0 -11 mois ayant recu le DTC-HepB-Hib1;kCjzhXAIRZz;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Enfants de 0 -11 mois ayant recu le DTC-HepB-Hib1;OwwkuOLrQaX;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Enfants de 0 -11 mois ayant recu le DTC-HepB-Hib3;QlzXoLtRgTj;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Enfants de 0 -11 mois ayant recu le DTC-HepB-Hib3;t0h0kzblSUP;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;nombre d'accouchements normaux;fLFomAX76EX;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_nombre d'accouchements normaux;IOhp4tCfOQN;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;nombre de journées d'hospitalisation des malades sorti;o3f5RP0eCmS;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_nombre de journées d'hospitalisation des malades sorti;mhfqX94tflP;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;nombre de lits;DNxqGx4dn0v;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_nombre de lits;WXIJwqPnDeX;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;nombre d'enfants de 0 à 11 mois ayant bénéficié d'une MILDA;CPXwa6O3uep;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_nombre d'enfants de 0 à 11 mois ayant bénéficié d'une MILDA;pRcPl3S6BNa;;;;;;;;;;;;
1;ENDOS_edm;MENSUELLE;ENDOS_BF;Nombre de naissance vivantes;TCsPHS85KH6;;;;;;;;;;;;;;CSPS 01 Santé maternelle et infantile - AELB;bJWWNnhNhBr;EDM;endos_Nombre de naissance vivantes;FBgl5J6SLtf;;;;;;;;;;;;
