source_dhis_programName;source_dhis_programId;source_dhis_programEnrolmentDate;source_dhis_programIncidentDate;source_dhis_programOrgUnitCode;source_dhis_attributName;source_dhis_attributId;source_dhis_programStageName;source_dhis_programStageId;source_dhis_programStageOrgUnitCode;source_dhis_programStageEventDate;source_dhis_programStageDataElementName;source_dhis_programStageDataElementId;source_dhis_programMasterName;source_dhis_programMasterId;source_dhis_attributValueUniqueName;source_dhis_attributValueUniqueId;source_dhis_dataElementValueUniqueName;source_dhis_dataElementValueUniqueId;destination_dhis_programName;destination_dhis_programId;destination_dhis_programEnrolmentDate;destination_dhis_programIncidentDate;destination_dhis_programOrgUnitCode;destination_dhis_attributName;destination_dhis_attributId;destination_dhis_programStageName;destination_dhis_programStageId;destination_dhis_programStageOrgUnitCode;destination_dhis_programStageEventDate;destination_dhis_programStageDataElementName;destination_dhis_programStageDataElementId;destination_dhis_programMasterName;destination_dhis_programMasterId;destination_dhis_attributValueUniqueName;destination_dhis_attributValueUniqueId;destination_dhis_dataElementValueUniqueName;destination_dhis_dataElementValueUniqueId;AllAttributValueMatching;AllDataElementValueMatching
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Ictère;eeeV2Om7TAs;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Ictère;eeeV2Om7TAs;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;30.32.Pâleur (paumes- plantes des pieds);g9oVcV9n9g3;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;30.32.Pâleur (paumes- plantes des pieds);g9oVcV9n9g3;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;30.33. pâleur palmaire;TX94eeTSzlp;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;30.32.Pâleur (paumes- plantes des pieds);g9oVcV9n9g3;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;30.33.Mesure PB _;EBjpftq2Ih7;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;30.33.Mesure PB;EBjpftq2Ih7;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;30.33. Malnutri;JGjJQ2wnkgo;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;30.33. Malnutri;JGjJQ2wnkgo;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;oedemes;aB4o1z8rbhe;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;30.34.Oedemes;aB4o1z8rbhe;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;vaccins;gKHOSpdCUcl;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;vaccins;gKHOSpdCUcl;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Vitamine A;fgz0UsKwKoz;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Vitamine A;fgz0UsKwKoz;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Autres problèmes;IYR6Y1t38V1;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Autres problèmes;IYR6Y1t38V1;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Distribution de produit effectuée;AHd7LLCT9KE;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Distribution de produit effectuée;AHd7LLCT9KE;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;30.42 Traitement palu simple dispensé;MjBfEY9mB8a;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;30.42 Traitement palu simple dispensé;MjBfEY9mB8a;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;30.42 Traitement palu grave dispensé;fjG7sZOgySL;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;30.42 Traitement palu grave dispensé;fjG7sZOgySL;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Traitement diarrhée sans déshydratation dispensé;Rm8qyrU9cvu;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Traitement diarrhée sans déshydratation dispensé;Rm8qyrU9cvu;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Traitement diarrhée avec déshydratation dispensé;egmsfpX4z1B;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Traitement diarrhée avec déshydratation dispensé;egmsfpX4z1B;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Traitement toux dispensé;EhNVfoLuaMT;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Traitement toux dispensé;EhNVfoLuaMT;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.10 Amoxicilline dispersible250 mg;z2jmkfs0fhP;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.10 Amoxicilline dispersible250 mg;z2jmkfs0fhP;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.15 Kit sro zinc;itdMNg2ML4I;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.15 Kit sro zinc;itdMNg2ML4I;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.1 Artemether-Lumefantrine 20/120mg comp (plaquette de 6);je9EZjk1J95;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.1 Artemether-Lumefantrine 20/120mg comp (plaquette de 6);je9EZjk1J95;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.2 Artemether-Lumefantrine 20/120mg comp (plaquette de 12);b2jXscnYzU7;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.2 Artemether-Lumefantrine 20/120mg comp (plaquette de 12);b2jXscnYzU7;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.3 Artemether-Lumefantrine 20/120mg comp (plaquette de 18);KS0NpR8CFq9;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.3 Artemether-Lumefantrine 20/120mg comp (plaquette de 18);KS0NpR8CFq9;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.4 Artemether-Lumefantrine 20/120mg comp (plaquette de 24);KfFBHoy6pK4;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.4 Artemether-Lumefantrine 20/120mg comp (plaquette de 24);KfFBHoy6pK4;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.9 Paracetamol 500mg;HBdqe0zxKdR;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.9 Paracetamol 500mg;HBdqe0zxKdR;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.7 Artesunate rectal 50mg;mAxCBjMDS2d;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.7 Artesunate rectal 50mg;mAxCBjMDS2d;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.8 Artesunate rectal 100mg;oU6XAVIG2jN;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.8 Artesunate rectal 100mg;oU6XAVIG2jN;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.21 TDR pour Paludisme;AUcaAk5d95k;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.21 TDR pour Paludisme;AUcaAk5d95k;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.22 Gants en Vrac;ebQEUo2opuA;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.22 Gants en Vrac;ebQEUo2opuA;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.23 Artésunate + Pyronaridine (20mg + 60mg) sachet;C4h240LpIwS;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.23 Artésunate + Pyronaridine (20mg + 60mg) sachet;C4h240LpIwS;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Indiv_1.24 Artésunate + Pyronaridine (60mg + 180mg) comp;kV7ZtnGYako;;;;;;;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Indiv_1.24 Artésunate + Pyronaridine (60mg + 180mg) comp;kV7ZtnGYako;;;;;;;;
Registre PRISE EN CHARGE;kFjVC6CTFrK;;;;;;PCIME;ZmvLH3erm6x;;;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;Prise en charge;tMhPShM7JTF;;;;;;PEC;Aa3qGPf4AN6;;;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;;non
