ordreExecution;rapidpro_flowUuid;rapidpro_flowName;rapidpro_declancheur;rapidpro_position;rapidpro_name;dhis_programName;dhis_programId;dhis_orgUnitCode;dhis_periode;dhis_typePeriode;dhis_changeToPeriode;dhis_promptitude;dhis_reference;dhis_dataSetName;dhis_dataSetId;dhis_dataElementName;dhis_dataElementId;dhis_categorieComboName;dhis_categorieComboId;dhis_categorieComboOptionName;dhis_categorieComboOptionId;dhis_assignValue;dhis_addValue
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;23;jours diarrhée;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;24;Sang dans selles;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;25;yeux enfoncés;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;26;assoiffé;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;27;plis cutanés;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;28;Eruption généralisée;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;29;Ecoulement nasal;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;30;yeux rouge;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;31;corps chaud;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;32;jours corps chaud;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;33;Traitement paludisme simple;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;34;Traitement paludisme grave;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;35;tdr paludisme;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;36;Urine foncées;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;37;Ictère;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;38;Pâleur (paumes- plantes des pieds);Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;39;30.33. pâleur palmaire;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;40;PB;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;41;oedemes;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;42;vaccins;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;43;Vitamine A;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;44;Autres problèmes;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;45;Voulez  vous distribuer;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
4;88239964-dce6-4c3e-a083-dd0c4e2504a6;ACTIVITES ASBC;pecenf;46;Code opération;Prise en charge;tMhPShM7JTF;;;;;;;Activité ASBC;tqIum6VDHOH;;;;;;;;
