ordreExecution;description;typePeriode;source_name;source_elementType;source_elementName;source_elementId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_name;destination_dataElementName;destination_dataElementId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
1;TLOH;semaine;MS_OH;;;dJgLea941Bh;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;dJgLea941Bh;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;dRozkQ8F3va;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;dRozkQ8F3va;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;dccbQP5s48Z;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;dccbQP5s48Z;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;eaZeWwahMg9;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;eaZeWwahMg9;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;f97HUSKfhGg;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;f97HUSKfhGg;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;imAAT58Rish;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;imAAT58Rish;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;jxi5c8zcodr;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;jxi5c8zcodr;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;lvzUxAB6UgJ;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;lvzUxAB6UgJ;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;nq0rg36Ovau;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;nq0rg36Ovau;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;om782lgxQNw;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;om782lgxQNw;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;rHsPcK9Goif;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;rHsPcK9Goif;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;rY7YN7BFB86;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;rY7YN7BFB86;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;soIqKuiCif7;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;soIqKuiCif7;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;tYLnsI7BEH8;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;tYLnsI7BEH8;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;uOJE1drdxsF;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;uOJE1drdxsF;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;v7rhSBn4BSq;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;v7rhSBn4BSq;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;;xnUp1CrqFie;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;;xnUp1CrqFie;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;Nombre de cas de COVID-19;phlQHuyA310;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;Nombre de cas de COVID-19;phlQHuyA310;;XELcwO4SEhs;;;;;;;;
1;TLOH;semaine;MS_OH;;Nombre de décès de COVID-19;X7iLoc9MQSc;;;;;;;;;TLOH;N98aAfUyooe;ENDOS_BF;Nombre de décès de COVID-19;X7iLoc9MQSc;;XELcwO4SEhs;;;;;;;;
