source_dhis_programName;source_dhis_programId;source_dhis_attributName;source_dhis_attributId;source_dhis_programStageName;source_dhis_programStageId;source_dhis_programStageDataElementName;source_dhis_programStageDataElementId;source_dhis_programMasterName;source_dhis_programMasterId;source_dhis_attributValueUniqueName;source_dhis_attributValueUniqueId;source_dhis_dataElementValueUniqueName;source_dhis_dataElementValueUniqueId;destination_dhis_programName;destination_dhis_programId;destination_dhis_attributName;destination_dhis_attributId;destination_dhis_programStageName;destination_dhis_programStageId;destination_dhis_programStageDataElementName;destination_dhis_programStageDataElementId;destination_dhis_programMasterName;destination_dhis_programMasterId;destination_dhis_attributValueUniqueName;destination_dhis_attributValueUniqueId;destination_dhis_dataElementValueUniqueName;destination_dhis_dataElementValueUniqueId;AllAttributValueMatching;AllDataElementValueMatching;changeValue
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.10 Amoxicilline dispersible250 mg;z2jmkfs0fhP;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.10 Amoxicilline dispersible250 mg;z2jmkfs0fhP;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.11 Sulfadoxine pyrimethamine;I7I6CdSQ2LY;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.11 Sulfadoxine pyrimethamine;I7I6CdSQ2LY;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.12 Fer acide folique;GXGOBMCsZrQ;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.12 Fer acide folique;GXGOBMCsZrQ;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.13 Micronutriments multiples;UcaofPxKeEU;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.13 Micronutriments multiples;UcaofPxKeEU;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.14 Poudre de micronutriments multiples;lQcjxtYF8RP;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.14 Poudre de micronutriments multiples;lQcjxtYF8RP;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.16 Contraceptifs oraux combines (COC);UppDy4iH3EG;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.16 Contraceptifs oraux combines (COC);UppDy4iH3EG;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.17 Contraceptifs oraux progestatifs (COP);lqcdVMYjsSd;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.17 Contraceptifs oraux progestatifs (COP);lqcdVMYjsSd;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.18 Condom masculin;MnVHMMxmKMT;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.18 Condom masculin;MnVHMMxmKMT;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.19 Condom feminin;O6rwNAgL2f6;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.19 Condom feminin;O6rwNAgL2f6;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.20 DMPA sc (Sayana press);kixMwkOsAJl;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.20 DMPA sc (Sayana press);kixMwkOsAJl;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.21 TDR pour Paludisme;AUcaAk5d95k;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.21 TDR pour Paludisme;AUcaAk5d95k;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.15 Kit sro zinc;itdMNg2ML4I;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.15 Kit sro zinc;itdMNg2ML4I;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.22 Gants en Vrac;ebQEUo2opuA;;;;;;;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Indiv_1.22 Gants en Vrac;ebQEUo2opuA;;;;;;;;;
Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;Gestion intrant;XzFxUYlBIkN;;;Gestion intrant;HzNOhsk9b94;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;;;
